step, reward
1211885,-213.41546690443255
1219885,-176.06080010468042
1227885,-214.75565245008727
1235574,-227.44995861022062
1243263,-103.79333641679193
1251263,-97.36331197987218
1259113,-182.4201551699038
1267113,-164.16845743545588
1275113,-295.28727778409393
1283113,-264.61672108569525
1291113,-200.3983140205
1299113,-214.51219667204026
1307113,-106.52547284888436
1314973,-219.04885325726087
1322973,-74.92288551561474
1330817,-270.06589337065765
1338817,-218.70031595293023
1346817,-170.39247924767096
1354601,-246.72869150434593
1362592,-108.23435383202161
1370563,-263.7955199910237
1378563,-209.5788220057584
1386563,-229.42451939989934
1394563,-100.6814986588891
1402563,-343.5390005144185
1410324,-431.59835589674515
1418324,-467.40116635746443
1426324,-522.8148158888158
1434324,-405.73909043380246
1442324,-448.1556376588618
1450324,-399.9431173785801
1457903,-530.4968653972654
1465241,-776.1976886407858
1473241,-510.3640191306001
1480819,-349.3299159014412
1488798,-184.92964872901348
1496798,-290.230298678986
1504798,-86.67905850878725
1512798,-179.05135901146662
1520798,-217.64253718416518
1528798,-181.6253212224767
1536798,-78.87955120928399
1544556,-189.62244517521668
1552556,-56.20742154058734
1560443,-152.9932687473339
1568443,-178.60369217168818
1576443,-186.17329531990868
1584443,-70.49947037804316
1592443,-117.19120804269492
1600443,-206.13192307237637
1608443,-268.521514337076
1616443,-184.87143498608003
1624443,-111.88550877215735
1632411,-106.38079061455
1640411,-325.5672332010731
1648411,-217.9232920813349
1656411,-127.31925882177833
1663812,-326.5491452666858
1671812,-171.4604340793756
1679812,-122.57813256671945
1687812,-188.12933531781542
1695688,-50.95005656087262
1703381,-190.81420272585146
1727381,-67.70222920144539
1735381,-223.67316103487644
1743063,-43.9130471988461
1751063,-265.18179715810544
1759063,-187.69080096570843
1767063,-303.0861549075356
1775063,-97.0982416803405
1783063,-186.86093682614916
1791063,-196.22330208804027
1798586,-92.93111912684375
1806316,-255.17393112479772
1814316,-279.5573834283501
1822316,-112.22544394841267
1830316,-57.83556884261997
1838316,-196.19872826592885
1846309,-46.90426887504588
1854309,-37.54213596902423
1862309,-52.28672655995782
1870309,-62.867172811096076
1878309,-178.31603164071055
1886309,-182.48092265560933
1894309,-290.098177059504
1902309,-318.57266997874035
1910309,-78.27925021320908
1917773,-466.67519213547007
1925088,-459.190625399267
1933088,-187.58882800437422
1941088,-291.0983778718761
1949088,-404.64845109928945
1957088,-772.0728184727134
1965013,-959.4429626971878
1973013,-748.5150547033684
