step,reward,data,time,max_time
790,-53.79087451464205,274.9163375553077,283.0,98.875
2354,-77.85907760652921,279.74295656094233,246.375,97.125
3918,-41.75480727846335,273.8447621162421,247.375,99.0
5440,-45.2834579953705,276.62257874078125,266.75,100.0
7040,-35.84500180980005,264.87686310498634,257.875,96.875
8631,-84.89596300875547,279.69841811928586,280.125,95.0
10231,-45.61141152794409,279.2582489992644,246.125,97.875
11828,-202.4370091098612,250.39429135070117,267.0,100.0
13428,-15.224283222383345,301.80256434496096,269.0,100.0
14950,2.3473170308886537,298.6550396464844,261.375,100.0
16501,1.4705143116799526,277.164001804375,262.75,100.0
18059,-29.58583994893673,289.97325729484373,248.125,100.0
19659,48.76195118926549,309.7573350550781,224.25,100.0
21248,-14.942790002129602,291.3199279868945,252.625,100.0
22848,-17.08737649292264,300.5827077183203,256.25,99.75
24393,37.242747758364565,317.3847830859375,227.875,96.375
25993,61.78732219693414,309.31454440421874,276.25,100.0
27509,117.24346331932357,336.01143584171876,213.25,96.5
29024,53.19130581670194,320.0396578614062,224.375,96.875
30573,177.81364405053688,360.35093125000003,228.25,89.25
31960,164.12533405580916,335.29629240624996,233.625,75.375
33167,155.74182718639366,329.59272262499996,217.375,94.125
34560,186.9106009827934,331.06153840625,202.0,75.0
35936,177.74094202682377,352.94162505937504,214.375,81.625
37258,137.93944971221984,325.3428939960937,201.25,82.125
38619,87.25574106131339,321.14489603693113,226.875,91.5
39937,80.47251427074563,332.8237967990716,233.5,86.5
41478,41.231203443710754,332.427466679993,234.5,85.125
42858,6.1156153198645065,306.44981376583985,235.75,90.125
44270,159.5452682029755,352.62314554687504,213.875,77.5
45609,103.28847974553605,329.236851671875,217.875,83.0
46874,173.03852993253076,341.73105625,200.625,68.0
47937,199.88623220467974,366.10834218750006,218.625,72.625
49095,139.3076081036831,332.8601004921875,194.375,89.5
50513,144.7650771788486,337.9377847644654,201.0,84.625
51684,220.24505920335844,356.06307879999997,227.25,68.625
52882,213.0636673589114,362.6597834375,221.0,81.25
54106,175.07383325350452,330.52005609375,209.5,75.75
55350,202.6334163643312,363.255625,210.5,65.75
56725,104.4714629523703,335.51929590625,210.0,81.5
57989,220.9221354631596,355.33025,174.375,60.125
59198,208.1733820655013,353.890075,198.75,72.25
60309,182.2456231540767,349.0004375,186.5,77.375
61599,195.84927495173002,347.1957103515625,198.625,66.5
63004,123.52525699018138,329.9132541205234,198.625,88.25
64255,212.20312807423903,358.863803078125,173.75,61.0
65466,136.43082560769,357.8555640625,185.75,88.125
66672,182.0822688610931,319.51798125000005,178.5,71.625
67972,214.69522559009658,339.47310921875,167.25,63.5
69009,223.94481598731494,367.4413125,180.875,58.0
70174,224.12047424580751,358.24843749999997,180.5,66.125
71220,228.78789896323443,355.7913587753907,175.375,54.25
72646,231.52396770772074,361.898125,171.5,56.625
74034,228.03207532177586,354.03562546875,174.5,54.375
75139,166.66854537946222,369.9307951164063,188.5,88.375
76509,74.97730049053337,340.4966458144375,189.5,84.125
77662,153.3510510801469,344.5356589004039,178.125,66.75
79131,166.27464593605927,339.2769585338774,172.0,62.125
80494,231.5562890813099,347.9476299246094,159.375,52.25
81904,231.1533006146404,377.26,180.0,59.125
83237,232.9177732062012,355.1490625,162.375,53.0
84404,223.1356714396262,363.30734375,171.0,57.75
85634,233.1604988378153,378.85,169.0,58.375
86976,233.89035774004353,355.334375,160.125,56.0
88250,234.24192638937149,381.481875,159.875,53.25
